annee;production_totale;production_thermique;production_thermique_fioul;production_thermique_charbon;production_thermique_gaz;production_hydraulique;production_nucleaire;production_eolienne;production_solaire;production_bioenergies;consommation_totale
2016;530.6;45.0;2.5;7.2;35.3;63.6;384.0;20.9;8.4;8.6;482.402092686004
2019;536.1;41.7;1.9;1.5;38.3;59.6;379.5;33.8;12.0;9.5;472.0336722920772
2020;499.8;37.4;1.6;1.3;34.4;65.0;335.4;39.7;12.7;9.6;448.5540174586198
2013;550.0;43.6;3.8;19.9;19.9;75.5;404.0;15.9;4.7;7.1;495.0
2017;528.3;53.5;2.9;9.7;40.9;53.2;379.1;24.0;9.1;9.3;481.081733079574
2023;494.6;32.6;1.7;0.8;30.0;58.8;320.4;50.8;21.6;10.4;438.5988577422449
2012;542.0;48.1;6.7;17.4;24.0;63.8;405.0;14.9;4.1;5.8;490.0
2014;537.8;24.6;2.1;8.4;14.1;67.4;415.8;17.0;5.9;7.1;462.7397573678169
2015;544.8;33.0;2.4;8.6;22.0;58.7;416.8;21.1;7.4;7.7;474.0864102980309
2018;547.6;38.4;1.8;5.7;31.0;67.8;393.2;28.1;10.4;9.5;477.2446574511856
2021;522.5;38.6;1.9;3.8;32.9;62.0;360.7;36.9;14.2;10.0;471.5878541097928
2022;445.8;49.2;2.2;2.9;44.0;49.6;279.0;38.9;18.5;10.5;453.3890055272793
